payload_id,type,reused,mass_lb,nationality,cap_serial,manufacturers
CP9,Satellite,False,3.3,United States,NA,NA
StangSat,Satellite,False,2.2,United States,NA,NA
CRS-18,Dragon 1.1,True,4911.2,United States,C108,NA
Amos-17,Satellite,False,14330.05,Israel,NA,NA
Starlink 1,Satellite,False,34392.1,United States,NA,NA
CRS-19,Dragon 1.1,True,11023.0,United States,C106,NA
JCSat 18 / Kacific 1,Satellite,False,14991.43,Japan,NA,NA
Starlink 2,Satellite,False,33951.2,United States,NA,NA
Crew Dragon In Flight Abort Test,Crew Dragon,False,,United States,C205,NA
Starlink 3,Satellite,False,34392.113,United States,NA,NA
Starlink 4,Satellite,False,33951.2,United States,NA,NA
CRS-20,Dragon 1.1,True,4358.539000000001,United States,C112,NA
Starlink 5,Satellite,False,34392.113,United States,NA,NA
Starlink 6,Satellite,False,33951.2,United States,NA,NA
Starlink 7,Satellite,False,33951.2,United States,NA,NA
CCtCap Demo Mission 2,Crew Dragon,False,20999.03,United States,C206,NA
Starlink 8,Satellite,False,33951.2,United States,NA,NA
SAOCOM 1B,Satellite,False,3527.3959999999997,Argentina,NA,NA
ANASIS-II,Satellite,False,,South Korea,NA,NA
GPS III SV03 (Columbus),Satellite,False,8553.94,United States,NA,NA
SXM-7,Satellite,False,,United States,NA,NA
GPS III SV04 (Sacagawea),Satellite,False,8115.215999999999,United States,NA,NA
Crew-1,Crew Dragon,False,,United States,C207,NA
GPS III SV05,Satellite,False,,,,
CRS-21,Dragon 1.1,True,,United States,C208,NA
Turksat 5A,Satellite,False,,,,
Starlink-9,Satellite,False,33245.7,United States,NA,NA
Starlink 10,Satellite,False,33951.2,,,
Sentinel-6 Michael Freilich,Satellite,False,3174.657,United States,NA,NA
BlackSky Global 5-6,Satellite,False,246.92,United States,NA,NA
Starlink-11,Satellite,False,33951.2,United States,NA,NA
Starlink-12,Satellite,False,33951.2,United States,NA,NA
Starlink-13,Satellite,False,33951.2,United States,NA,NA
Starlink-14,Satellite,False,33951.2,United States,NA,NA
NROL-108,Satellite,False,,,,
